amfi_code,CAGR_1Y,CAGR_3Y,CAGR_5Y,Sharpe_Ratio,Sortino_Ratio,Alpha,Beta,Max_Drawdown,Worst_Date,expense_ratio_pct,scheme_name,return_rank,sharpe_rank,alpha_rank,expense_rank,dd_rank,Fund_Score
119599,0.1190796983675011,-0.006866124385353167,,-0.05718662582817997,-0.09438726129459607,0.048824215945539845,0.06200180438267164,-0.5257422117012851,2025-10-28,0.72,SBI Small Cap Fund - Direct Plan - Growth,0.1,0.225,0.125,0.8875,1.0,40.75443786982248
120844,0.06837152766088916,0.0654165743882027,,-0.08874729621557331,-0.1877230477424232,0.06455677495375998,-0.0004007442394784006,-0.0011629327956168556,2024-04-30,0.6,Kotak Liquid Fund - Regular - Growth,0.275,0.175,0.225,0.95,0.05,37.721893491124256
101207,-0.24242050015436856,-0.026964750873929244,,0.1626607692864677,0.27664379626092334,0.10897091901704538,-0.06528924788351526,-0.3544691649336603,2026-05-11,1.53,ABSL Small Cap Fund - Regular - Growth,0.05,0.325,0.35,0.3125,0.95,36.46449704142012
118636,0.10622598136417083,0.04152061472814461,,-0.356629507514368,-0.6135251287271027,0.05074772999976104,0.0012566742731558475,-0.08316361763638702,2024-02-09,0.55,Nippon India Gilt Securities Fund - Regular - Growth,0.175,0.075,0.15,1.0,0.15,31.50887573964497
119095,-0.454228926346248,-0.11065546853000663,,-0.07597357117478923,-0.12818559275851932,0.04801595363775955,-0.06695117463929198,-0.5167775370852656,2026-05-11,1.38,Axis Small Cap Fund - Regular - Growth,0.025,0.2,0.1,0.6,0.975,31.360946745562128
119120,0.0572307956371807,0.05606028649588968,,-0.22657538662791596,-0.3767670081706672,0.05620895216638369,-0.006413850728276476,-0.04328728923970093,2025-04-01,0.77,SBI Magnum Gilt Fund - Regular Plan - Growth,0.225,0.1,0.175,0.8,0.125,30.76923076923077
100025,0.025017601049311722,0.046143288414864925,,-0.5670947928476847,-0.9418212366054207,0.042817920315060876,0.0011582183155281417,-0.04308263824636349,2023-07-28,0.56,HDFC Short Term Debt Fund - Regular - Growth,0.2,0.05,0.075,0.975,0.1,28.846153846153843
101208,0.0685429952818637,0.060761500834302096,,-0.8155673679088278,-1.6810378667512837,0.060861457957871144,0.00026670968338238335,-0.0016224980244717857,2023-09-12,0.79,ABSL Liquid Fund - Regular - Growth,0.25,0.025,0.2,0.75,0.075,28.550295857988168
102886,-0.13226101829615933,-0.01832224809009908,,-0.20583160785470314,-0.34722230254727277,0.02896939786637944,-0.04212502902189429,-0.2800112356639287,2026-04-27,1.51,UTI Mid Cap Fund - Regular - Growth,0.075,0.125,0.025,0.4125,0.875,24.6301775147929
119092,0.034029890817970365,0.005559688070353008,,0.030784850954585913,0.05257398559304797,0.0689952982167755,0.009730745001153627,-0.1440161790933726,2025-02-07,1.64,Axis Bluechip Fund - Regular - Growth,0.15,0.25,0.275,0.0375,0.375,24.33431952662722
100016,-0.033055090768621787,-0.00031627759670682654,,-0.2015170675596694,-0.35104746015230903,0.03747580763443281,-0.05826843143880891,-0.24734440880673303,2022-09-15,1.55,HDFC Top 100 Fund - Regular Plan - Growth,0.125,0.15,0.05,0.225,0.85,24.11242603550296
